schema_version,split_id,sample,selected_on_train,trade_dates,experiment_id,strategy_id,direction_filter,first_target_points,stop_points,runner_target_points,runner_stop_mode,input_signal_rows,input_candidates,evaluated_trades,full_stops,first_target_hits,runner_target_hits,runner_stop_exits,end_of_session_exits,other_exits,positive_net_trades,positive_net_rate,gross_usd,net_usd,average_net_usd,long_trades,short_trades,notes
1,scaled_scalp_walk_forward_window=3:train_dates=8:holdout_dates=1,train,true,2026-05-25;2026-05-26;2026-05-27;2026-05-28;2026-05-29;2026-06-01;2026-06-02;2026-06-03,signal_scaled_scalp:strategy=impulse_continue_5bar_2pt:direction=all:first_target_points=1.5:stop_points=1:runner_target_points=3:runner_stop_mode=breakeven,impulse_continue_5bar_2pt,all,1.5,1,3,breakeven,155,155,155,82,72,50,22,1,0,72,0.46451613,4700,3615,23.32258065,80,75,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=3:train_dates=8:holdout_dates=1,holdout,true,2026-06-04,signal_scaled_scalp:strategy=impulse_continue_5bar_2pt:direction=all:first_target_points=1.5:stop_points=1:runner_target_points=3:runner_stop_mode=breakeven,impulse_continue_5bar_2pt,all,1.5,1,3,breakeven,20,20,20,10,10,4,6,0,0,10,0.5,350,210,10.5,11,9,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=4:train_dates=8:holdout_dates=1,train,true,2026-05-26;2026-05-27;2026-05-28;2026-05-29;2026-06-01;2026-06-02;2026-06-03;2026-06-04,signal_scaled_scalp:strategy=impulse_continue_5bar_2pt:direction=all:first_target_points=1.5:stop_points=1:runner_target_points=3:runner_stop_mode=breakeven,impulse_continue_5bar_2pt,all,1.5,1,3,breakeven,160,160,160,86,74,48,26,0,0,74,0.4625,4150,3030,18.9375,87,73,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=4:train_dates=8:holdout_dates=1,holdout,true,2026-06-05,signal_scaled_scalp:strategy=impulse_continue_5bar_2pt:direction=all:first_target_points=1.5:stop_points=1:runner_target_points=3:runner_stop_mode=breakeven,impulse_continue_5bar_2pt,all,1.5,1,3,breakeven,20,20,20,11,9,5,4,0,0,9,0.45,325,185,9.25,10,10,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=5:train_dates=8:holdout_dates=1,train,true,2026-05-27;2026-05-28;2026-05-29;2026-06-01;2026-06-02;2026-06-03;2026-06-04;2026-06-05,signal_scaled_scalp:strategy=impulse_continue_5bar_2pt:direction=all:first_target_points=1.5:stop_points=2:runner_target_points=5:runner_stop_mode=breakeven,impulse_continue_5bar_2pt,all,1.5,2,5,breakeven,160,160,160,65,95,44,51,0,0,95,0.59375,5125,4005,25.03125,87,73,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=5:train_dates=8:holdout_dates=1,holdout,true,2026-06-08,signal_scaled_scalp:strategy=impulse_continue_5bar_2pt:direction=all:first_target_points=1.5:stop_points=2:runner_target_points=5:runner_stop_mode=breakeven,impulse_continue_5bar_2pt,all,1.5,2,5,breakeven,20,20,20,8,12,6,6,0,0,12,0.6,800,660,33,9,11,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=6:train_dates=8:holdout_dates=1,train,true,2026-05-28;2026-05-29;2026-06-01;2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08,signal_scaled_scalp:strategy=impulse_continue_5bar_2pt:direction=all:first_target_points=1.5:stop_points=1:runner_target_points=5:runner_stop_mode=breakeven,impulse_continue_5bar_2pt,all,1.5,1,5,breakeven,160,160,160,85,75,29,46,0,0,75,0.46875,4375,3255,20.34375,86,74,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=6:train_dates=8:holdout_dates=1,holdout,true,2026-06-09,signal_scaled_scalp:strategy=impulse_continue_5bar_2pt:direction=all:first_target_points=1.5:stop_points=1:runner_target_points=5:runner_stop_mode=breakeven,impulse_continue_5bar_2pt,all,1.5,1,5,breakeven,20,20,20,8,12,9,3,0,0,12,0.6,2350,2210,110.5,11,9,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=7:train_dates=8:holdout_dates=1,train,true,2026-05-29;2026-06-01;2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09,signal_scaled_scalp:strategy=impulse_continue_5bar_2pt:direction=all:first_target_points=1.5:stop_points=1:runner_target_points=5:runner_stop_mode=breakeven,impulse_continue_5bar_2pt,all,1.5,1,5,breakeven,160,160,160,85,75,35,40,0,0,75,0.46875,5875,4755,29.71875,84,76,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=7:train_dates=8:holdout_dates=1,holdout,true,2026-06-10,signal_scaled_scalp:strategy=impulse_continue_5bar_2pt:direction=all:first_target_points=1.5:stop_points=1:runner_target_points=5:runner_stop_mode=breakeven,impulse_continue_5bar_2pt,all,1.5,1,5,breakeven,20,20,20,9,11,6,5,0,0,11,0.55,1425,1285,64.25,10,10,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=8:train_dates=8:holdout_dates=1,train,true,2026-06-01;2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09;2026-06-10,signal_scaled_scalp:strategy=impulse_continue_5bar_2pt:direction=all:first_target_points=1.5:stop_points=2:runner_target_points=5:runner_stop_mode=breakeven,impulse_continue_5bar_2pt,all,1.5,2,5,breakeven,160,160,160,60,100,47,53,0,0,100,0.625,7250,6130,38.3125,84,76,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=8:train_dates=8:holdout_dates=1,holdout,true,2026-06-11,signal_scaled_scalp:strategy=impulse_continue_5bar_2pt:direction=all:first_target_points=1.5:stop_points=2:runner_target_points=5:runner_stop_mode=breakeven,impulse_continue_5bar_2pt,all,1.5,2,5,breakeven,20,20,20,8,12,6,6,0,0,12,0.6,800,660,33,9,11,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=9:train_dates=8:holdout_dates=1,train,true,2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09;2026-06-10;2026-06-11,signal_scaled_scalp:strategy=impulse_continue_5bar_2pt:direction=all:first_target_points=1.5:stop_points=2:runner_target_points=5:runner_stop_mode=breakeven,impulse_continue_5bar_2pt,all,1.5,2,5,breakeven,160,160,160,57,103,50,53,0,0,103,0.64375,8825,7705,48.15625,83,77,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
