schema_version,split_id,sample,selected_on_train,trade_dates,strategy_id,trade_date,sample_signal_occurrence,sample_duplicate_signal,signal_id,symbol,direction,entry_bar_index,entry_time,entry_price,selected_first_target_points,selected_stop_points,selected_runner_target_points,selected_runner_stop_mode,exit_reason,exit_bar_index,exit_time,stop_price,first_target_price,runner_target_price,leg1_exit_price,runner_exit_price,first_target_hit,holding_bars,gross_points,gross_usd,commission_usd,slippage_usd,net_usd,notes
1,scaled_scalp_walk_forward_window=36:train_dates=20:holdout_dates=5,holdout,true,2026-01-22;2026-01-23;2026-01-26;2026-01-27;2026-01-28,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2026-01-26,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-01-26_7636_short_5,ESU26-CME,short,7636,2026-1-26 12:18:00.000000,7101.5,5,10,10,initial,runner_target_hit,7710,2026-1-26 16:00:00.000000,7111.5,7096.5,7091.5,7096.5,7091.5,true,74,15,750,7,25,718,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
1,scaled_scalp_walk_forward_window=36:train_dates=20:holdout_dates=5,holdout,true,2026-01-22;2026-01-23;2026-01-26;2026-01-27;2026-01-28,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2026-01-26,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-01-26_7647_short_6,ESU26-CME,short,7647,2026-1-26 12:51:00.000000,7098.25,5,10,10,initial,end_of_session,7714,2026-1-26 16:12:00.000000,7108.25,7093.25,7088.25,7093.25,7092.25,true,67,11,550,7,25,518,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
1,scaled_scalp_walk_forward_window=36:train_dates=20:holdout_dates=5,holdout,true,2026-01-22;2026-01-23;2026-01-26;2026-01-27;2026-01-28,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2026-01-26,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-01-26_7652_short_7,ESU26-CME,short,7652,2026-1-26 13:06:00.000000,7096.5,5,10,10,initial,full_stop_hit,7660,2026-1-26 13:30:00.000000,7106.5,7091.5,7086.5,7106.5,7106.5,false,8,-20,-1000,7,25,-1032,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
1,scaled_scalp_walk_forward_window=36:train_dates=20:holdout_dates=5,holdout,true,2026-01-22;2026-01-23;2026-01-26;2026-01-27;2026-01-28,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2026-01-26,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-01-26_7665_short_8,ESU26-CME,short,7665,2026-1-26 13:45:00.000000,7100.25,5,10,10,initial,runner_target_hit,7713,2026-1-26 16:09:00.000000,7110.25,7095.25,7090.25,7095.25,7090.25,true,48,15,750,7,25,718,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
1,scaled_scalp_walk_forward_window=36:train_dates=20:holdout_dates=5,holdout,true,2026-01-22;2026-01-23;2026-01-26;2026-01-27;2026-01-28,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2026-01-26,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-01-26_7670_short_9,ESU26-CME,short,7670,2026-1-26 14:00:00.000000,7101.75,5,10,10,initial,runner_target_hit,7709,2026-1-26 15:57:00.000000,7111.75,7096.75,7091.75,7096.75,7091.75,true,39,15,750,7,25,718,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
1,scaled_scalp_walk_forward_window=36:train_dates=20:holdout_dates=5,holdout,true,2026-01-22;2026-01-23;2026-01-26;2026-01-27;2026-01-28,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2026-01-26,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-01-26_7676_short_10,ESU26-CME,short,7676,2026-1-26 14:18:00.000000,7103.25,5,10,10,initial,runner_target_hit,7708,2026-1-26 15:54:00.000000,7113.25,7098.25,7093.25,7098.25,7093.25,true,32,15,750,7,25,718,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
1,scaled_scalp_walk_forward_window=36:train_dates=20:holdout_dates=5,holdout,true,2026-01-22;2026-01-23;2026-01-26;2026-01-27;2026-01-28,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2026-01-26,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-01-26_7681_short_11,ESU26-CME,short,7681,2026-1-26 14:33:00.000000,7103.25,5,10,10,initial,runner_target_hit,7708,2026-1-26 15:54:00.000000,7113.25,7098.25,7093.25,7098.25,7093.25,true,27,15,750,7,25,718,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
1,scaled_scalp_walk_forward_window=36:train_dates=20:holdout_dates=5,holdout,true,2026-01-22;2026-01-23;2026-01-26;2026-01-27;2026-01-28,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2026-01-26,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-01-26_7692_short_12,ESU26-CME,short,7692,2026-1-26 15:06:00.000000,7102.5,5,10,10,initial,runner_target_hit,7708,2026-1-26 15:54:00.000000,7112.5,7097.5,7092.5,7097.5,7092.5,true,16,15,750,7,25,718,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
1,scaled_scalp_walk_forward_window=36:train_dates=20:holdout_dates=5,holdout,true,2026-01-22;2026-01-23;2026-01-26;2026-01-27;2026-01-28,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2026-01-26,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-01-26_7702_short_13,ESU26-CME,short,7702,2026-1-26 15:36:00.000000,7102.75,5,10,10,initial,runner_target_hit,7708,2026-1-26 15:54:00.000000,7112.75,7097.75,7092.75,7097.75,7092.75,true,6,15,750,7,25,718,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
1,scaled_scalp_walk_forward_window=36:train_dates=20:holdout_dates=5,holdout,true,2026-01-22;2026-01-23;2026-01-26;2026-01-27;2026-01-28,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2026-01-27,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-01-27_7728_short_0,ESU26-CME,short,7728,2026-1-27 10:09:00.000000,7116,5,10,10,initial,full_stop_hit,7740,2026-1-27 10:45:00.000000,7126,7111,7106,7126,7126,false,12,-20,-1000,7,25,-1032,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
1,scaled_scalp_walk_forward_window=36:train_dates=20:holdout_dates=5,holdout,true,2026-01-22;2026-01-23;2026-01-26;2026-01-27;2026-01-28,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2026-01-27,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-01-27_7743_short_1,ESU26-CME,short,7743,2026-1-27 10:54:00.000000,7124,5,10,10,initial,runner_target_hit,7785,2026-1-27 13:00:00.000000,7134,7119,7114,7119,7114,true,42,15,750,7,25,718,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
1,scaled_scalp_walk_forward_window=36:train_dates=20:holdout_dates=5,holdout,true,2026-01-22;2026-01-23;2026-01-26;2026-01-27;2026-01-28,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2026-01-27,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-01-27_7753_short_2,ESU26-CME,short,7753,2026-1-27 11:24:00.000000,7129,5,10,10,initial,runner_target_hit,7770,2026-1-27 12:15:00.000000,7139,7124,7119,7124,7119,true,17,15,750,7,25,718,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
1,scaled_scalp_walk_forward_window=36:train_dates=20:holdout_dates=5,holdout,true,2026-01-22;2026-01-23;2026-01-26;2026-01-27;2026-01-28,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2026-01-27,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-01-27_7761_short_3,ESU26-CME,short,7761,2026-1-27 11:48:00.000000,7128,5,10,10,initial,runner_target_hit,7785,2026-1-27 13:00:00.000000,7138,7123,7118,7123,7118,true,24,15,750,7,25,718,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
1,scaled_scalp_walk_forward_window=36:train_dates=20:holdout_dates=5,holdout,true,2026-01-22;2026-01-23;2026-01-26;2026-01-27;2026-01-28,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2026-01-27,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-01-27_7768_short_4,ESU26-CME,short,7768,2026-1-27 12:09:00.000000,7123.75,5,10,10,initial,runner_target_hit,7785,2026-1-27 13:00:00.000000,7133.75,7118.75,7113.75,7118.75,7113.75,true,17,15,750,7,25,718,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
1,scaled_scalp_walk_forward_window=36:train_dates=20:holdout_dates=5,holdout,true,2026-01-22;2026-01-23;2026-01-26;2026-01-27;2026-01-28,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2026-01-27,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-01-27_7774_short_5,ESU26-CME,short,7774,2026-1-27 12:27:00.000000,7125,5,10,10,initial,runner_target_hit,7785,2026-1-27 13:00:00.000000,7135,7120,7115,7120,7115,true,11,15,750,7,25,718,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
1,scaled_scalp_walk_forward_window=36:train_dates=20:holdout_dates=5,holdout,true,2026-01-22;2026-01-23;2026-01-26;2026-01-27;2026-01-28,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2026-01-27,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-01-27_7782_short_6,ESU26-CME,short,7782,2026-1-27 12:51:00.000000,7121.5,5,10,10,initial,end_of_session,7849,2026-1-27 16:12:00.000000,7131.5,7116.5,7111.5,7116.5,7119,true,67,7.5,375,7,25,343,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
