schema_version,feature,bucket_index,bucket_count,min_value,max_value,trades,runner_target_hits,full_stops,runner_stop_exits,other_exits,positive_net_trades,positive_net_rate,net_usd,average_net_usd
1,lookback_trades_to_session_average_trades,5,10,0.66921806,0.73173768,130,59,46,19,6,64,0.49230769,-9010,-69.30769231
1,lookback_trades_to_session_average_trades,6,10,0.73178482,0.79625342,129,60,44,17,8,66,0.51162791,-7203,-55.8372093
1,lookback_trades_to_session_average_trades,7,10,0.79740341,0.87246738,130,66,47,12,5,69,0.53076923,-3460,-26.61538462
1,lookback_trades_to_session_average_trades,8,10,0.87265515,0.94944736,130,78,29,19,4,80,0.61538462,20577.5,158.28846154
1,lookback_trades_to_session_average_trades,9,10,0.95062739,1.01503242,130,63,41,25,1,64,0.49230769,-3997.5,-30.75
1,lookback_trades_to_session_average_trades,10,10,1.01512249,2.06578065,130,72,36,18,4,75,0.57692308,10752.5,82.71153846
1,risk_to_average_bar_range,1,10,0.54907344,0.968523,129,78,42,8,1,78,0.60465116,10334.5,80.1124031
1,risk_to_average_bar_range,2,10,0.97087379,1.18870728,130,65,39,26,0,65,0.5,-910,-7
1,risk_to_average_bar_range,3,10,1.19047619,1.39372822,130,82,28,20,0,82,0.63076923,24340,187.23076923
1,risk_to_average_bar_range,4,10,1.39534884,1.59680639,130,69,36,25,0,69,0.53076923,5340,41.07692308
1,risk_to_average_bar_range,5,10,1.59680639,1.81818182,130,67,38,24,1,68,0.52307692,2252.5,17.32692308
1,risk_to_average_bar_range,6,10,1.81818182,2.07792208,129,54,40,28,7,60,0.46511628,-9490.5,-73.56976744
1,risk_to_average_bar_range,7,10,2.07792208,2.40963855,130,67,37,20,6,71,0.54615385,4915,37.80769231
1,risk_to_average_bar_range,8,10,2.41691843,2.93040293,130,61,45,11,13,70,0.53846154,-4260,-32.76923077
1,risk_to_average_bar_range,9,10,2.94117647,3.72093023,130,46,44,12,28,65,0.5,-11597.5,-89.21153846
1,risk_to_average_bar_range,10,10,3.72093023,8.5106383,130,43,27,1,59,81,0.62307692,6177.5,47.51923077
1,runner_target_to_average_bar_range,1,10,0.54907344,0.968523,129,78,42,8,1,78,0.60465116,10334.5,80.1124031
1,runner_target_to_average_bar_range,2,10,0.97087379,1.18870728,130,65,39,26,0,65,0.5,-910,-7
1,runner_target_to_average_bar_range,3,10,1.19047619,1.39372822,130,82,28,20,0,82,0.63076923,24340,187.23076923
1,runner_target_to_average_bar_range,4,10,1.39534884,1.59680639,130,69,36,25,0,69,0.53076923,5340,41.07692308
1,runner_target_to_average_bar_range,5,10,1.59680639,1.81818182,130,67,38,24,1,68,0.52307692,2252.5,17.32692308
1,runner_target_to_average_bar_range,6,10,1.81818182,2.07792208,129,54,40,28,7,60,0.46511628,-9490.5,-73.56976744
1,runner_target_to_average_bar_range,7,10,2.07792208,2.40963855,130,67,37,20,6,71,0.54615385,4915,37.80769231
1,runner_target_to_average_bar_range,8,10,2.41691843,2.93040293,130,61,45,11,13,70,0.53846154,-4260,-32.76923077
1,runner_target_to_average_bar_range,9,10,2.94117647,3.72093023,130,46,44,12,28,65,0.5,-11597.5,-89.21153846
1,runner_target_to_average_bar_range,10,10,3.72093023,8.5106383,130,43,27,1,59,81,0.62307692,6177.5,47.51923077
