schema_version,trade_date,trades,runner_target_hits,full_stops,runner_stop_exits,other_exits,positive_net_trades,positive_net_rate,net_usd,average_net_usd,cumulative_net_usd
1,2026-04-09,9,3,4,1,1,4,0.44444444,-1775.5,-197.27777778,15527.5
1,2026-04-10,10,5,2,1,2,7,0.7,1767.5,176.75,17295
1,2026-04-13,16,0,10,6,0,0,0,-12012,-750.75,5283
1,2026-04-14,8,2,4,1,1,2,0.25,-3206,-400.75,2077
1,2026-04-15,7,2,3,1,1,3,0.42857143,-1899,-271.28571429,178
1,2026-04-16,7,6,0,1,0,6,0.85714286,4026,575.14285714,4204
1,2026-04-17,9,6,1,2,0,6,0.66666667,2712,301.33333333,6916
1,2026-04-20,8,6,0,1,1,7,0.875,4181.5,522.6875,11097.5
1,2026-04-21,10,6,4,0,0,6,0.6,180,18,11277.5
1,2026-04-22,11,6,3,2,0,6,0.54545455,648,58.90909091,11925.5
1,2026-04-23,6,6,0,0,0,6,1,4308,718,16233.5
1,2026-04-24,11,0,3,4,4,3,0.27272727,-3614.5,-328.59090909,12619
1,2026-04-27,13,4,2,0,7,9,0.69230769,759,58.38461538,13378
1,2026-04-28,13,5,4,1,3,6,0.46153846,-991,-76.23076923,12387
1,2026-04-29,13,10,2,1,0,10,0.76923077,4834,371.84615385,17221
1,2026-04-30,9,3,3,2,1,4,0.44444444,-1388,-154.22222222,15833
1,2026-05-01,12,8,3,1,0,8,0.66666667,2366,197.16666667,18199
1,2026-05-04,9,5,2,1,1,5,0.55555556,937,104.11111111,19136
1,2026-05-05,9,2,4,2,1,3,0.33333333,-2963,-329.22222222,16173
1,2026-05-06,10,4,3,2,1,4,0.4,-1370,-137,14803
1,2026-05-07,12,7,5,0,0,7,0.58333333,-134,-11.16666667,14669
1,2026-05-08,11,6,2,2,1,7,0.63636364,1723,156.63636364,16392
1,2026-05-11,10,5,2,1,2,7,0.7,1817.5,181.75,18209.5
1,2026-05-12,11,5,5,1,0,5,0.45454545,-1852,-168.36363636,16357.5
1,2026-05-13,12,2,7,1,2,4,0.33333333,-5346.5,-445.54166667,11011
1,2026-05-14,10,4,2,0,4,8,0.8,1492.5,149.25,12503.5
1,2026-05-15,10,4,4,2,0,4,0.4,-1820,-182,10683.5
1,2026-05-18,12,5,4,3,0,5,0.41666667,-1384,-115.33333333,9299.5
1,2026-05-19,7,5,2,0,0,5,0.71428571,1526,218,10825.5
1,2026-05-20,10,2,4,2,2,3,0.3,-3132.5,-313.25,7693
1,2026-05-21,8,5,3,0,0,5,0.625,494,61.75,8187
1,2026-05-22,8,5,1,1,1,6,0.75,2681.5,335.1875,10868.5
1,2026-05-25,5,2,0,0,3,5,1,3065,613,13933.5
1,2026-05-26,10,8,2,0,0,8,0.8,3680,368,17613.5
1,2026-05-27,7,3,1,0,3,5,0.71428571,1188.5,169.78571429,18802
1,2026-05-28,8,0,5,0,3,0,0,-5743.5,-717.9375,13058.5
1,2026-05-29,8,6,1,1,0,6,0.75,2994,374.25,16052.5
1,2026-06-01,9,6,2,0,1,7,0.77777778,2537,281.88888889,18589.5
1,2026-06-02,5,1,1,0,3,1,0.2,-1560,-312,17029.5
1,2026-06-03,9,2,3,4,0,2,0.22222222,-2788,-309.77777778,14241.5
1,2026-06-04,9,4,0,5,0,4,0.44444444,1462,162.44444444,15703.5
1,2026-06-05,8,2,5,1,0,2,0.25,-4006,-500.75,11697.5
1,2026-06-08,9,7,1,1,0,7,0.77777778,3712,412.44444444,15409.5
1,2026-06-09,10,7,3,0,0,7,0.7,1930,193,17339.5
1,2026-06-10,11,3,6,2,0,3,0.27272727,-4602,-418.36363636,12737.5
1,2026-06-11,12,10,1,1,0,10,0.83333333,5866,488.83333333,18603.5
1,2026-06-12,11,5,6,0,0,5,0.45454545,-2602,-236.54545455,16001.5
1,2026-06-15,10,7,3,0,0,7,0.7,1930,193,17931.5
1,2026-06-16,9,3,4,2,0,3,0.33333333,-2538,-282,15393.5
1,2026-06-17,10,8,2,0,0,8,0.8,3680,368,19073.5
1,2026-06-18,8,4,3,1,0,4,0.5,-506,-63.25,18567.5
1,2026-06-19,3,1,0,0,2,3,1,1904,634.66666667,20471.5
1,2026-06-22,10,5,2,3,0,5,0.5,680,68,21151.5
1,2026-06-23,8,4,2,2,0,4,0.5,244,30.5,21395.5
1,2026-06-24,8,6,0,2,0,6,0.75,3744,468,25139.5
1,2026-06-25,9,6,2,1,0,6,0.66666667,1962,218,27101.5
