schema_version,candidate_id,signal_id,symbol,direction,entry_time,exit_time,exit_reason,first_target_hit,net_usd,exit_first_target_points,exit_stop_points,exit_runner_target_points,exit_runner_stop_mode,lookback_directional_move_points,session_range_points,risk_to_average_bar_range,minutes_after_rth_open,entry_trades_to_session_average_trades,average_bar_range_points,entry_bar_delta
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-11-21_6629_long_0,ESU26-CME,long,2025-11-21 10:12:00.000000,2025-11-21 10:15:00.000000,ambiguous_full_stop_first,false,-1032,6,10,12,initial,-19.25,33.5,0.58516196,42,0.96923801,17.08928571,-2449
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-11-21_6638_long_1,ESU26-CME,long,2025-11-21 10:39:00.000000,2025-11-21 10:42:00.000000,runner_target_hit,true,868,6,10,12,initial,-39.75,57,0.57471264,69,1.21265072,17.4,-133
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-11-21_6649_long_2,ESU26-CME,long,2025-11-21 11:12:00.000000,2025-11-21 11:18:00.000000,runner_initial_stop_hit,true,-232,6,10,12,initial,-4.25,57,0.63391442,102,0.58277033,15.775,-47
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-11-21_6669_short_3,ESU26-CME,short,2025-11-21 12:12:00.000000,2025-11-21 13:03:00.000000,runner_target_hit,true,868,6,10,12,initial,-73.25,104.5,0.92915215,162,0.68525323,10.7625,57
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-11-21_6677_short_4,ESU26-CME,short,2025-11-21 12:36:00.000000,2025-11-21 12:45:00.000000,full_stop_hit,false,-1032,6,10,12,initial,-33.5,108,1.08991826,186,0.63459051,9.175,692
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-11-21_6682_short_5,ESU26-CME,short,2025-11-21 12:51:00.000000,2025-11-21 13:03:00.000000,runner_target_hit,true,868,6,10,12,initial,-13,108,1.06951872,201,0.56362407,9.35,290
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-11-21_6712_short_8,ESU26-CME,short,2025-11-21 14:21:00.000000,2025-11-21 14:33:00.000000,runner_target_hit,true,868,6,10,12,initial,-65,138.25,0.95351609,291,0.57633714,10.4875,141
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-11-25_6891_long_0,ESU26-CME,long,2025-11-25 09:48:00.000000,2025-11-25 09:51:00.000000,runner_target_hit,true,868,6,10,12,initial,-38.25,55.5,0.84507042,18,1.39340915,11.83333333,-2664
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-11-25_6910_short_1,ESU26-CME,short,2025-11-25 10:45:00.000000,2025-11-25 10:48:00.000000,runner_target_hit,true,868,6,10,12,initial,-47.5,66.25,0.75471698,75,0.98087701,13.25,950
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-11-25_6922_short_2,ESU26-CME,short,2025-11-25 11:21:00.000000,2025-11-25 11:51:00.000000,runner_initial_stop_hit,true,-232,6,10,12,initial,-34,66.25,1.00502513,111,0.58513088,9.95,229
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-11-25_6929_short_3,ESU26-CME,short,2025-11-25 11:42:00.000000,2025-11-25 12:00:00.000000,runner_initial_stop_hit,true,-232,6,10,12,initial,-7.25,70.5,1.24223602,132,0.48946582,8.05,19
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-11-25_6935_short_4,ESU26-CME,short,2025-11-25 12:00:00.000000,2025-11-25 12:18:00.000000,full_stop_hit,false,-1032,6,10,12,initial,-25.75,78.75,1.56862745,150,1.08901549,6.375,682
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-01_7310_short_0,ESU26-CME,short,2025-12-1 10:00:00.000000,2025-12-1 10:21:00.000000,runner_target_hit,true,868,6,10,12,initial,-20.5,31.5,1.15606936,30,0.97262,8.65,1142
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-01_7315_short_1,ESU26-CME,short,2025-12-1 10:15:00.000000,2025-12-1 10:30:00.000000,runner_target_hit,true,868,6,10,12,initial,-15.5,31.5,1.27388535,45,0.74747731,7.85,63
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-02_7471_long_2,ESU26-CME,long,2025-12-2 11:18:00.000000,2025-12-2 11:21:00.000000,full_stop_hit,false,-1032,6,10,12,initial,-10.25,30.25,1.41093474,108,1.13752355,7.0875,-212
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-02_7495_short_3,ESU26-CME,short,2025-12-2 12:30:00.000000,2025-12-2 12:51:00.000000,runner_target_hit,true,868,6,10,12,initial,-32.5,45.5,1.56862745,180,0.57315575,6.375,120
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-03_7592_short_1,ESU26-CME,short,2025-12-3 10:36:00.000000,2025-12-3 11:33:00.000000,runner_initial_stop_hit,true,-232,6,10,12,initial,-12.25,33.25,1.38888889,66,0.97137469,7.2,215
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-04_7729_short_1,ESU26-CME,short,2025-12-4 10:42:00.000000,2025-12-4 11:03:00.000000,runner_target_hit,true,868,6,10,12,initial,-3.75,32.25,1.46788991,72,0.66729188,6.8125,750
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-05_7880_long_2,ESU26-CME,long,2025-12-5 11:30:00.000000,2025-12-5 13:30:00.000000,runner_target_hit,true,868,6,10,12,initial,-28,33.25,1.68776371,120,1.72359814,5.925,-1334
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-10_8342_short_7,ESU26-CME,short,2025-12-10 14:21:00.000000,2025-12-10 14:33:00.000000,runner_initial_stop_hit,true,-232,6,10,12,initial,-9.5,44.5,1.50943396,291,1.57487997,6.625,66
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-10_8361_short_8,ESU26-CME,short,2025-12-10 15:18:00.000000,2025-12-10 16:03:00.000000,runner_target_hit,true,868,6,10,12,initial,-33.5,76,0.91533181,348,1.1732909,10.925,1174
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-11_8410_short_1,ESU26-CME,short,2025-12-11 11:00:00.000000,2025-12-11 11:42:00.000000,runner_initial_stop_hit,true,-232,6,10,12,initial,-27.75,46.75,1.34680135,90,1.12961608,7.425,48
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-11_8424_short_2,ESU26-CME,short,2025-12-11 11:42:00.000000,2025-12-11 11:54:00.000000,runner_target_hit,true,868,6,10,12,initial,-7,46.75,1.39372822,132,0.70604287,7.175,19
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-11_8438_short_3,ESU26-CME,short,2025-12-11 12:24:00.000000,2025-12-11 13:42:00.000000,runner_initial_stop_hit,true,-232,6,10,12,initial,-26.25,58,1.60965795,174,0.79248282,6.2125,687
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-12_8530_long_0,ESU26-CME,long,2025-12-12 10:15:00.000000,2025-12-12 10:24:00.000000,full_stop_hit,false,-1032,6,10,12,initial,-24.5,35.5,1.48148148,45,1.21310281,6.75,-187
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-12_8538_long_1,ESU26-CME,long,2025-12-12 10:39:00.000000,2025-12-12 10:54:00.000000,runner_initial_stop_hit,true,-232,6,10,12,initial,-35.5,56.25,1.31147541,69,0.86551974,7.625,-30
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-12_8560_long_2,ESU26-CME,long,2025-12-12 11:45:00.000000,2025-12-12 12:06:00.000000,runner_target_hit,true,868,6,10,12,initial,-48.5,98,0.95351609,135,0.8550008,10.4875,-760
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-12_8591_short_5,ESU26-CME,short,2025-12-12 13:18:00.000000,2025-12-12 14:00:00.000000,runner_target_hit,true,868,6,10,12,initial,-7.75,98,1.63599182,228,0.73272963,6.1125,68
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-15_8666_long_0,ESU26-CME,long,2025-12-15 10:18:00.000000,2025-12-15 10:24:00.000000,full_stop_hit,false,-1032,6,10,12,initial,-40,56,1.30879346,48,1.16709507,7.640625,-321
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-15_8672_long_1,ESU26-CME,long,2025-12-15 10:36:00.000000,2025-12-15 10:45:00.000000,runner_target_hit,true,868,6,10,12,initial,-34.5,67.5,1.19581465,66,0.82388911,8.3625,-238
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-15_8686_short_2,ESU26-CME,short,2025-12-15 11:18:00.000000,2025-12-15 11:36:00.000000,runner_target_hit,true,868,6,10,12,initial,-12.25,67.5,1.07962213,108,0.67335357,9.2625,37
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-15_8705_long_4,ESU26-CME,long,2025-12-15 12:15:00.000000,2025-12-15 12:48:00.000000,runner_initial_stop_hit,true,-232,6,10,12,initial,-17.25,67.5,1.50943396,165,0.64178395,6.625,-441
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-15_8720_long_6,ESU26-CME,long,2025-12-15 13:00:00.000000,2025-12-15 14:06:00.000000,runner_target_hit,true,868,6,10,12,initial,-3.5,67.5,1.70212766,210,0.58591913,5.875,-14
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-15_8733_long_8,ESU26-CME,long,2025-12-15 13:39:00.000000,2025-12-15 14:03:00.000000,runner_target_hit,true,868,6,10,12,initial,-8.75,67.5,1.69133192,249,0.47661221,5.9125,-24
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-16_8801_long_0,ESU26-CME,long,2025-12-16 10:18:00.000000,2025-12-16 10:24:00.000000,full_stop_hit,false,-1032,6,10,12,initial,-16.25,34.75,0.81115336,48,0.94304749,12.328125,-2672
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-16_8824_long_1,ESU26-CME,long,2025-12-16 11:27:00.000000,2025-12-16 11:51:00.000000,runner_target_hit,true,868,6,10,12,initial,-5.75,47.75,1.11576011,117,0.62473726,8.9625,-1365
