schema_version,split_id,sample,selected_on_train,trade_dates,selected_context_experiment_id,veto_id,veto_name,veto_field,veto_operator,veto_threshold,minimum_kept_train_trades,selected_input_trades,kept_trades,vetoed_trades,runner_target_hits,full_stops,runner_stop_exits,other_exits,positive_net_trades,positive_net_rate,net_usd,average_net_usd,average_net_usd_lower_bound,unvetoed_net_usd,veto_net_improvement_usd,long_trades,short_trades,notes
1,scaled_context_filter_walk_forward_window=11:train_dates=8:holdout_dates=2,train,true,2026-05-13;2026-05-14;2026-05-15;2026-05-18;2026-05-20;2026-05-21;2026-05-22;2026-05-26,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=60-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=0-50:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,selected_veto:name=min_opening_range_continuation_edge_score:field=opening_range_continuation_edge_score:op=>=:threshold=1.5,min_opening_range_continuation_edge_score,opening_range_continuation_edge_score,>=,1.5,10,17,13,4,12,1,0,0,12,0.92307692,6059,466.07692308,344.13317518,5131,928,13,0,second-stage single-feature veto selected on train rows only
1,scaled_context_filter_walk_forward_window=11:train_dates=8:holdout_dates=2,holdout,true,2026-05-27;2026-05-28,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=60-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=0-50:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,selected_veto:name=min_opening_range_continuation_edge_score:field=opening_range_continuation_edge_score:op=>=:threshold=1.5,min_opening_range_continuation_edge_score,opening_range_continuation_edge_score,>=,1.5,10,2,0,2,0,0,0,0,0,0,0,0,0,-2114,2114,0,0,second-stage single-feature veto selected on train rows only
1,scaled_context_filter_walk_forward_window=13:train_dates=8:holdout_dates=2,train,true,2026-05-15;2026-05-18;2026-05-20;2026-05-21;2026-05-22;2026-05-26;2026-05-27;2026-05-28,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=60-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=0-50:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,selected_veto:name=max_risk_to_average_bar_range:field=risk_to_average_bar_range:op=<=:threshold=4,max_risk_to_average_bar_range,risk_to_average_bar_range,<=,4,10,12,11,1,7,4,0,0,7,0.63636364,-77,-7,-246.31721057,-1134,1057,9,2,second-stage single-feature veto selected on train rows only
1,scaled_context_filter_walk_forward_window=13:train_dates=8:holdout_dates=2,holdout,true,2026-05-29;2026-06-01,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=60-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=0-50:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,selected_veto:name=max_risk_to_average_bar_range:field=risk_to_average_bar_range:op=<=:threshold=4,max_risk_to_average_bar_range,risk_to_average_bar_range,<=,4,10,7,6,1,2,4,0,0,2,0.33333333,-3042,-507,-824.54264805,-3349,307,4,2,second-stage single-feature veto selected on train rows only
1,scaled_context_filter_walk_forward_window=15:train_dates=8:holdout_dates=2,train,true,2026-05-20;2026-05-21;2026-05-22;2026-05-26;2026-05-27;2026-05-28;2026-05-29;2026-06-01,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-390:max_risk_avg_range=12:max_runner_avg_range=12:signal_delta_avg=10-50:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,selected_veto:name=max_risk_to_average_bar_range:field=risk_to_average_bar_range:op=<=:threshold=4,max_risk_to_average_bar_range,risk_to_average_bar_range,<=,4,10,12,10,2,7,3,0,0,7,0.7,980,98,-141.10771631,-609,1589,9,1,second-stage single-feature veto selected on train rows only
1,scaled_context_filter_walk_forward_window=15:train_dates=8:holdout_dates=2,holdout,true,2026-06-02;2026-06-03,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-390:max_risk_avg_range=12:max_runner_avg_range=12:signal_delta_avg=10-50:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,selected_veto:name=max_risk_to_average_bar_range:field=risk_to_average_bar_range:op=<=:threshold=4,max_risk_to_average_bar_range,risk_to_average_bar_range,<=,4,10,3,1,2,0,1,0,0,0,0,-1057,-1057,-1057,-3171,2114,1,0,second-stage single-feature veto selected on train rows only
1,scaled_context_filter_walk_forward_window=17:train_dates=8:holdout_dates=2,train,true,2026-05-22;2026-05-26;2026-05-27;2026-05-28;2026-05-29;2026-06-01;2026-06-02;2026-06-03,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-390:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=5-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,selected_veto:name=max_signal_abs_delta_sum_to_average_abs_delta:field=signal_abs_delta_sum_to_average_abs_delta:op=<=:threshold=12,max_signal_abs_delta_sum_to_average_abs_delta,signal_abs_delta_sum_to_average_abs_delta,<=,12,10,12,10,2,5,4,1,0,5,0.5,-1570,-157,-403.47515088,-3684,2114,6,4,second-stage single-feature veto selected on train rows only
1,scaled_context_filter_walk_forward_window=17:train_dates=8:holdout_dates=2,holdout,true,2026-06-04;2026-06-05,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-390:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=5-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,selected_veto:name=max_signal_abs_delta_sum_to_average_abs_delta:field=signal_abs_delta_sum_to_average_abs_delta:op=<=:threshold=12,max_signal_abs_delta_sum_to_average_abs_delta,signal_abs_delta_sum_to_average_abs_delta,<=,12,10,10,9,1,8,1,0,0,8,0.88888889,3687,409.66666667,236.81834238,2630,1057,4,5,second-stage single-feature veto selected on train rows only
1,scaled_context_filter_walk_forward_window=19:train_dates=8:holdout_dates=2,train,true,2026-05-27;2026-05-28;2026-05-29;2026-06-01;2026-06-02;2026-06-03;2026-06-04;2026-06-05,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-240:max_risk_avg_range=8:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0.75:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,selected_veto:name=max_signal_abs_delta_sum_to_average_abs_delta:field=signal_abs_delta_sum_to_average_abs_delta:op=<=:threshold=12,max_signal_abs_delta_sum_to_average_abs_delta,signal_abs_delta_sum_to_average_abs_delta,<=,12,10,13,10,3,7,2,1,0,7,0.7,1730,173,-38.91979615,209,1521,4,6,second-stage single-feature veto selected on train rows only
1,scaled_context_filter_walk_forward_window=19:train_dates=8:holdout_dates=2,holdout,true,2026-06-08;2026-06-09,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-240:max_risk_avg_range=8:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0.75:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,selected_veto:name=max_signal_abs_delta_sum_to_average_abs_delta:field=signal_abs_delta_sum_to_average_abs_delta:op=<=:threshold=12,max_signal_abs_delta_sum_to_average_abs_delta,signal_abs_delta_sum_to_average_abs_delta,<=,12,10,9,9,0,5,3,1,0,5,0.55555556,-513,-57,-309.7625148,-513,0,3,6,second-stage single-feature veto selected on train rows only
